_Id	_CreationDate	_PostId	_RelatedPostId	_LinkTypeId
103	2016-08-02T19:22:20.577	118	10	1
136	2016-08-02T21:18:16.763	140	36	1
179	2016-08-03T05:15:39.443	179	26	1
194	2016-08-03T06:20:50.550	148	186	1
195	2016-08-03T06:37:01.983	37	74	1
196	2016-08-03T06:47:44.710	186	148	1
228	2016-08-03T09:18:52.437	202	26	1
280	2016-08-03T14:17:17.257	218	212	1
1581	2016-08-04T11:10:36.090	1296	240	1
1657	2016-08-04T18:52:55.680	1318	111	1
1719	2016-08-05T01:45:17.633	1354	92	1
1777	2016-08-05T18:34:03.610	1384	154	1
1778	2016-08-05T18:34:03.610	1384	225	1
1779	2016-08-05T18:34:03.610	1384	168	1
1780	2016-08-05T18:34:03.610	1384	205	1
1813	2016-08-06T01:27:03.500	1394	237	1
1829	2016-08-06T11:09:15.160	41	15	1
1831	2016-08-06T11:11:32.533	41	1397	1
1871	2016-08-07T07:39:38.143	1433	1376	1
1872	2016-08-07T12:59:43.577	1432	1420	1
1873	2016-08-07T12:59:43.577	1432	1396	1
1874	2016-08-07T17:14:07.107	70	1390	1
1895	2016-08-08T18:17:21.233	1462	1415	1
1968	2016-08-09T07:02:03.893	1477	1285	1
2018	2016-08-09T18:14:32.743	1477	1285	3
2029	2016-08-09T20:54:09.720	1501	60	1
2030	2016-08-09T20:54:09.720	1501	1376	1
2031	2016-08-09T20:54:09.720	1501	111	1
2032	2016-08-09T20:54:09.720	1501	1289	1
2077	2016-08-10T01:51:10.200	1461	1462	1
2099	2016-08-10T03:02:39.970	1519	1507	1
2100	2016-08-10T03:02:39.970	1519	1488	1
2112	2016-08-10T05:54:42.643	1509	1479	1
2113	2016-08-10T11:24:13.367	1485	1490	1
2116	2016-08-10T12:04:22.680	1515	1462	1
2226	2016-08-11T14:59:11.393	1544	1420	1
2284	2016-08-11T18:38:13.963	1540	1420	1
2333	2016-08-11T20:16:51.633	1567	1568	1
2345	2016-08-12T02:48:59.620	1561	1560	1
2464	2016-08-14T03:17:29.793	1614	1427	1
2486	2016-08-15T03:06:01.993	1622	35	1
2498	2016-08-15T03:28:50.017	186	148	3
2568	2016-08-16T01:48:02.907	1644	1560	1
2578	2016-08-16T09:36:55.380	1635	1630	1
2605	2016-08-17T02:29:19.100	1656	1274	1
2617	2016-08-17T02:46:03.100	1657	1655	1
2621	2016-08-17T09:25:43.740	1657	1598	1
2622	2016-08-17T09:31:16.330	1657	1507	1
2680	2016-08-17T14:52:26.230	211	1665	1
2684	2016-08-17T18:02:40.383	1478	1479	1
2875	2016-08-18T19:56:25.287	1691	92	1
2883	2016-08-19T16:51:02.167	1481	1644	1
2885	2016-08-19T18:40:46.010	1701	1481	1
2951	2016-08-23T20:28:49.450	1691	1689	1
2996	2016-08-26T02:52:48.400	1742	86	1
3105	2016-08-29T19:38:38.710	1768	1404	1
3329	2016-09-07T17:26:07.590	1877	1870	1
3330	2016-09-07T20:13:49.120	1885	1314	1
3383	2016-09-10T10:54:14.413	1924	1488	1
3385	2016-09-10T14:27:34.203	1768	1897	1
3400	2016-09-10T19:03:07.180	1930	1404	1
3439	2016-09-11T06:44:59.863	1941	1930	1
3440	2016-09-11T06:44:59.863	1941	1404	1
3441	2016-09-11T09:16:16.310	1939	1635	1
3455	2016-09-11T15:57:30.730	1930	1941	1
3466	2016-09-12T08:25:15.313	1953	1540	1
3475	2016-09-13T18:47:31.657	1648	1507	1
3476	2016-09-13T23:39:02.003	1613	1955	1
3528	2016-09-14T15:23:54.217	1969	41	1
3544	2016-09-15T16:06:03.437	1978	40	1
3655	2016-09-20T17:49:46.740	2000	1396	1
3666	2016-09-22T04:34:42.000	1989	1751	1
3821	2016-10-01T11:45:39.427	2028	1751	1
3822	2016-10-01T11:46:06.403	2028	1751	3
4585	2016-10-04T19:06:15.487	2078	2067	1
4668	2016-10-07T12:37:10.003	2087	1541	1
5094	2016-10-12T16:36:38.953	2125	1507	1
5104	2016-10-12T17:12:53.330	2131	1834	1
5147	2016-10-13T15:34:53.750	2125	1507	3
5239	2016-10-15T07:37:18.947	2145	1751	1
5414	2016-10-19T07:02:55.260	2117	1618	1
5498	2016-10-22T13:18:19.850	2198	2192	1
5512	2016-10-23T16:20:59.140	2198	2192	3
5783	2016-10-31T07:10:10.157	2236	35	1
5895	2016-11-04T11:19:46.717	2251	1426	1
5896	2016-11-04T11:23:11.647	2251	160	1
6004	2016-11-07T19:30:01.783	2274	1768	1
6232	2016-11-16T07:17:07.643	2338	2330	1
6442	2016-11-26T15:04:17.683	2389	52	1
6691	2016-12-01T16:59:14.377	2413	2092	1
7517	2016-12-18T17:20:12.883	2441	2356	1
7523	2016-12-18T19:03:50.793	2498	2441	1
7550	2016-12-20T15:44:15.303	2514	1877	1
7632	2016-12-21T23:05:18.227	2516	1768	1
7974	2016-12-30T17:19:59.427	2578	1451	1
8336	2017-01-10T00:16:56.487	2626	2599	1
8388	2017-01-11T16:11:01.960	2619	240	1
8415	2017-01-12T15:31:01.383	2642	1507	1
8662	2017-01-19T21:38:28.100	2694	35	1
8674	2017-01-20T08:18:07.527	2694	35	3
8767	2017-01-23T17:54:57.023	2713	1561	1
9401	2017-02-06T09:33:57.737	2784	2604	1
9826	2017-02-16T14:11:46.497	2820	2330	1
10041	2017-02-23T21:11:34.133	2867	92	1
10042	2017-02-23T21:11:34.133	2867	1479	1
10167	2017-02-26T00:22:57.857	2872	2277	1
10178	2017-02-26T02:16:05.983	2864	2876	1
10329	2017-03-01T10:57:11.923	2897	2277	1
10330	2017-03-01T11:41:35.190	2897	2872	1
10355	2017-03-01T16:02:10.797	2872	2876	1
10357	2017-03-01T16:55:13.723	2897	2876	1
10403	2017-03-02T22:30:19.713	2900	2876	1
11252	2017-03-23T00:35:38.790	3032	3014	1
11812	2017-04-01T14:14:59.807	3080	3019	1
11854	2017-04-01T20:24:06.433	3066	3006	1
12044	2017-04-04T15:28:21.627	3099	1824	1
13104	2017-04-23T00:23:06.070	2706	15	1
13143	2017-04-24T07:04:49.023	1700	3130	1
14895	2017-05-29T09:02:28.270	3403	2980	1
15551	2017-06-06T20:33:36.100	3441	2306	1
16015	2017-06-13T14:42:56.007	3490	1970	1
16111	2017-06-15T19:47:46.973	3499	3072	1
16414	2017-06-23T17:10:50.830	3533	77	1
16421	2017-06-24T06:16:38.573	3533	2236	1
17479	2017-07-17T13:17:35.240	3659	3647	1
17601	2017-07-18T18:38:47.580	3669	1906	1
